2023-12-10 14:50:45,145 INFO    StreamThr :1627462 [internal.py:wandb_internal():86] W&B internal server running at pid: 1627462, started at: 2023-12-10 14:50:45.142327
2023-12-10 14:50:45,150 DEBUG   HandlerThread:1627462 [handler.py:handle_request():146] handle_request: status
2023-12-10 14:50:45,166 INFO    WriterThread:1627462 [datastore.py:open_for_write():85] open: /dss/dsshome1/0D/ge32jaq2/marglik_epig_Alex/active_learning_marglik/wandb/run-20231210_145045-xh1pq6r1/run-xh1pq6r1.wandb
2023-12-10 14:50:45,169 DEBUG   SenderThread:1627462 [sender.py:send():382] send: header
2023-12-10 14:50:45,188 DEBUG   SenderThread:1627462 [sender.py:send():382] send: run
2023-12-10 14:50:46,350 INFO    SenderThread:1627462 [dir_watcher.py:__init__():211] watching files in: /dss/dsshome1/0D/ge32jaq2/marglik_epig_Alex/active_learning_marglik/wandb/run-20231210_145045-xh1pq6r1/files
2023-12-10 14:50:46,351 INFO    SenderThread:1627462 [sender.py:_start_run_threads():1136] run started: xh1pq6r1 with start time 1702216245.142025
2023-12-10 14:50:46,377 DEBUG   HandlerThread:1627462 [handler.py:handle_request():146] handle_request: check_version
2023-12-10 14:50:46,378 DEBUG   SenderThread:1627462 [sender.py:send_request():409] send_request: check_version
2023-12-10 14:50:46,665 DEBUG   HandlerThread:1627462 [handler.py:handle_request():146] handle_request: run_start
2023-12-10 14:50:46,670 DEBUG   HandlerThread:1627462 [system_info.py:__init__():32] System info init
2023-12-10 14:50:46,670 DEBUG   HandlerThread:1627462 [system_info.py:__init__():47] System info init done
2023-12-10 14:50:46,670 INFO    HandlerThread:1627462 [system_monitor.py:start():194] Starting system monitor
2023-12-10 14:50:46,671 INFO    SystemMonitor:1627462 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-10 14:50:46,672 INFO    HandlerThread:1627462 [system_monitor.py:probe():214] Collecting system info
2023-12-10 14:50:46,674 INFO    SystemMonitor:1627462 [interfaces.py:start():190] Started cpu monitoring
2023-12-10 14:50:46,678 INFO    SystemMonitor:1627462 [interfaces.py:start():190] Started disk monitoring
2023-12-10 14:50:46,681 INFO    SystemMonitor:1627462 [interfaces.py:start():190] Started memory monitoring
2023-12-10 14:50:46,683 INFO    SystemMonitor:1627462 [interfaces.py:start():190] Started network monitoring
2023-12-10 14:50:46,703 DEBUG   HandlerThread:1627462 [system_info.py:probe():196] Probing system
2023-12-10 14:50:46,712 DEBUG   HandlerThread:1627462 [system_info.py:_probe_git():181] Probing git
2023-12-10 14:50:46,738 DEBUG   HandlerThread:1627462 [system_info.py:_probe_git():189] Probing git done
2023-12-10 14:50:46,739 DEBUG   HandlerThread:1627462 [system_info.py:probe():244] Probing system done
